tool	type	genome	reads	paired	paired_perc	aligned_concordantly_0	aligned_concordantly_0_perc	aligned_concordantly_1	aligned_concordantly_1_perc	aligned_concordantly_gt_1	aligned_concordantly_gt_1_perc	overall_alignment_rate
hisat2	raw	all	83417349	83417349	100.00%	26861674	32.20%	36665308	43.95%	19890367	23.84%	67.80%
bowtie2	raw	all	83417349	83417349	100.00%	20588730	24.68%	8435359	10.11%	54393260	65.21%	75.32%
hisat2	raw	es_noEs	83417349	83417349	100.00%	28824862	34.55%	40581886	48.65%	14010601	16.80%	65.45%
bowtie2	raw	es_noEs	83417349	83417349	100.00%	27174343	32.58%	9518053	11.41%	46724953	56.01%	67.42%
hisat2	raw	es	83417349	83417349	100.00%	36779955	44.09%	36945251	44.29%	9692143	11.62%	55.91%
bowtie2	raw	es	83417349	83417349	100.00%	36689831	43.98%	20230853	24.25%	26496665	31.76%	56.02%
hisat2	clean	all	81920242	81920242	100.00%	25367787	30.97%	36652139	44.74%	19900316	24.29%	69.03%
bowtie2	clean	all	81920242	81920242	100.00%	19086874	23.30%	8440575	10.30%	54392793	66.40%	76.70%
hisat2	clean	es_noEs	81920242	81920242	100.00%	27328743	33.36%	40567673	49.52%	14023826	17.12%	66.64%
bowtie2	clean	es_noEs	81920242	81920242	100.00%	25679444	31.35%	9524332	11.63%	46716466	57.03%	68.65%
hisat2	clean	es	81920242	81920242	100.00%	35282790	43.07%	36935287	45.09%	9702165	11.84%	56.93%
bowtie2	clean	es	81920242	81920242	100.00%	35232443	43.01%	20229441	24.69%	26458358	32.30%	56.99%
